skillCornerId,trackId,optaId,sportLogicId,inStatId,dob,name,jerseyNumber,position,team_skillCornerId,yellowCard,redCard,injured,goal,ownGoal,startTime,endTime,subbedIn,subbedOut,side,gameId,gameDate,homeTeamId,homeTeamName,awayTeamId,awayTeamName,playerId,teamId,opta_teamId
11761,11865,227127,14208,371587,1996-08-30,Yves Bissouma,8,DM,308,0,0,FALSE,0,0,00:00:00,NA,FALSE,FALSE,home,9648,2020-09-14T19:15:00.000Z,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,Brighton and Hove Albion,66fae705a10eba94c95996e92357a5a6e4988f27152e19905db6a230a5e48a2c,Chelsea,aa96464d2088f91d0f9fe2e78e6d609854dc28860f10cc1f9b7557306f833cc3,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,36
11553,11630,83299,12661,17288,1991-11-21,Lewis Dunk,5,CB,308,0,0,FALSE,0,0,00:00:00,NA,FALSE,FALSE,home,9648,2020-09-14T19:15:00.000Z,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,Brighton and Hove Albion,66fae705a10eba94c95996e92357a5a6e4988f27152e19905db6a230a5e48a2c,Chelsea,a295a138484cecf22212ad9f65be919fd385667e19fc88494eee2606ea962a46,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,36
11556,11633,109345,12675,174168,1994-07-20,Solomon March,20,LWB,308,0,0,FALSE,0,0,00:00:00,NA,FALSE,FALSE,home,9648,2020-09-14T19:15:00.000Z,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,Brighton and Hove Albion,66fae705a10eba94c95996e92357a5a6e4988f27152e19905db6a230a5e48a2c,Chelsea,433ac3bb16333f5538cae2c0874dfa5042e62951b43237b60e94a1ac1986fdd4,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,36
6109,6119,116216,29726,70736,1994-12-04,Leandro Trossard,11,CF,308,0,0,FALSE,1,0,00:00:00,NA,FALSE,FALSE,home,9648,2020-09-14T19:15:00.000Z,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,Brighton and Hove Albion,66fae705a10eba94c95996e92357a5a6e4988f27152e19905db6a230a5e48a2c,Chelsea,1d947c22bc5f4a732fb3f3dfb07d5a4f9715d423bf981a7a5efc16478dad286a,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,36
18903,19100,110735,21770,126230,1995-01-04,Adam Webster,4,LCB,308,0,0,FALSE,0,0,00:00:00,NA,FALSE,FALSE,home,9648,2020-09-14T19:15:00.000Z,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,Brighton and Hove Albion,66fae705a10eba94c95996e92357a5a6e4988f27152e19905db6a230a5e48a2c,Chelsea,04583a17d5b509c171892bcbf4d3a5b9ed2dfa519c06b4320f1658d3d427e6ea,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,36
7886,7896,115382,21501,162344,1996-08-14,Neal Maupay,9,RF,308,0,0,FALSE,0,0,00:00:00,NA,FALSE,FALSE,home,9648,2020-09-14T19:15:00.000Z,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,Brighton and Hove Albion,66fae705a10eba94c95996e92357a5a6e4988f27152e19905db6a230a5e48a2c,Chelsea,efe57814ad66d98aec04cec9279350a9454065bebacac0a0d83c4efac16fac65,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,36
192,202,39155,12826,26920,1988-05-10,Adam Lallana,14,RM,308,0,0,TRUE,0,0,00:00:00,00:44:53,FALSE,TRUE,home,9648,2020-09-14T19:15:00.000Z,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,Brighton and Hove Albion,66fae705a10eba94c95996e92357a5a6e4988f27152e19905db6a230a5e48a2c,Chelsea,f53baced004e706c14e75f1517bd2ed17bae041919fa9c9b225a0bc1a8712826,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,36
14037,14234,233425,29389,419860,2000-01-28,Aaron Connolly,7,CF,308,0,0,FALSE,0,0,00:44:53,NA,TRUE,FALSE,home,9648,2020-09-14T19:15:00.000Z,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,Brighton and Hove Albion,66fae705a10eba94c95996e92357a5a6e4988f27152e19905db6a230a5e48a2c,Chelsea,56f5838ecac19132f1c7db958670c8467dcf94d9d0d076eb5927db9fe18a3540,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,36
609,619,165210,14840,189729,1993-08-11,Alireza Jahanbakhsh,16,RW,308,0,0,FALSE,0,0,01:18:14,NA,TRUE,FALSE,home,9648,2020-09-14T19:15:00.000Z,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,Brighton and Hove Albion,66fae705a10eba94c95996e92357a5a6e4988f27152e19905db6a230a5e48a2c,Chelsea,c9ab8bb7ae658236ce767bd91549698ac426233f85e3f680ddb4acd06afda8df,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,36
23750,24697,235382,32856,429358,1998-09-08,Steven Alzate,17,LM,308,0,0,FALSE,0,0,00:00:00,01:18:14,FALSE,TRUE,home,9648,2020-09-14T19:15:00.000Z,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,Brighton and Hove Albion,66fae705a10eba94c95996e92357a5a6e4988f27152e19905db6a230a5e48a2c,Chelsea,2f40e3a0e62efcd2b4e66489453a7dd1a0162d1c48435e38063a9470df9319f1,4f35c234f60958c162fc74350990a75c5bca56d8d67cf0cfa2bb6dfee22c833f,36
